providerId,name,credentialsArray,activeLicensures,languages,education,experience,specialtyAreas,specialtyCategories,introAndBackground,carePhilosophy,favoriteHobbies,favoriteFoods,imageUploaded
248,Leslie Schmille,"MS, RD, LD","OR
AZ",English,"Framingham State University, MS, Food and Nutrition, 2016; University of Kansas, BS, Marketing and Entrepreneurship, 2008",7 years of experience as a Registered Dietitian,Pediatrics,"Obesity & Weight Management, Pediatrics & Adolescents","Leslie is a Central Oregon-based Registered Dietitian who is passionate about child nutrition and helping parents raise healthy, adventurous eaters. She has worked with families for more than six years counseling around picky eating, weight concerns, food allergies, and family meal planning to name a few. She is also passionate about helping all individuals to foster a positive relationship with food to promote overall health and well being to live a more fulfilling life. ","I believe nutrition has a direct impact on your health and the healthier you are the more you are able to do in life. Thus, food and nutrition plays a vital role in living a more fulfilling life. I work with patients to help make sustainable changes to their current diet to meet their personal goals. I believe in a holistic approach to nutrition counseling taking into account your current eating habits, lifestyle, and needs of your family. We'll work together to develop the optimal plan for you and your family to make lifelong changes to your health.","Photography, Hiking, Kayaking","Mexican, Pizza, Sushi",TRUE
237,Rachael Erickson,"MS, RD, LD","TX
OR
UT
AZ","English, intermediate Spanish","Sodexo, Dietetic Internship, Leadership, 2019; Kent State University, MS, Nutrition, 2015; Oregon State University, BS, Nutrition, 2006",3 years of experience as a Registered Dietitian,"Chronic Disease, Sports Nutrition, Weight Management, Diabetes and Pre-diabetes, Digestive Health","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes, GI & Digestive Health; Food Sensitivities, Sports & Performance Nutrition",Rachael is an Oregon-based Registered Dietitian who compassionately supports all in their health journey. She has worked in the nutrition field for over 10 years and has experienced many cultural approaches to food. She has coordinated programs related to food allergies and has taught nutrition topics to groups of various ages and sizes. She is passionate about keeping good nutrition simple to meet the needs of each individual.,"I am passionate about creating nutritious meals within any budget. I enjoy seeing others reach their health goals through good nutrition. I believe taking baby steps minimizes the fear of change and helps to establish healthy habits. I don't believe that good vs bad food lists are helpful because most foods can be part of a healthy diet. Understanding how you learn best and what you value is key to developing a personalized nutrition plan for you, your lifestyle, and your health goals.","Hiking, walking, and dancing with friends, batch cooking for the week, experimenting with recipes","Latin American and Thai cuisines, all fruit--especially pineapple!",TRUE
244,Eileen Santana,"RD, CDN, LD","NY
AZ","English, Spanish","CUNY Hunter College School of Public Health Dietetic Internship, 2020; New York University BS Nutrition, Dietetics & Food Studies, 2014",8 years of experience as a Nutrition Professional,"Wellness Nutrition, Integrative, Weight-Inclusive",GI & Digestive Health; Food Sensitivities,"Eileen is a New York City-based Registered Dietitian passionate about helping folks improve their energy and mood with non-restrictive nutrition strategies. She worked as a community nutrition educator throughout New York City for over seven years, helping people build their understanding of nutrition to improve their health. Eileen aims to help individuals gain actionable insights to manage their energy, mood, and overall health through sustainable, research-backed nutrition strategies. ",There's a lot of noise regarding nutrition that is not ideal for everyone. I help patients tune into their needs and provide guidance in eating habit changes that are realistic and sustainable. My goal is for you to become confident in your ability to nourish your body in a way that is easy to maintain for years to come - I am honored to help you change your relationship with food!,"Reading, hiking, pilates and video games","NYC-style pizza slice, spinach, and sweet potato (pie :)",TRUE
262,Emily Heying,"PhD, RD, LD","MN
OR



VA
IA",English,"Iowa State University, Dietetic Internship, 2021; University of Wisconsin-Madison, PhD, Human Nutrition, 2014; Wartburg College, BA, Biochemistry, 2010.",1 year of experiences as a Registered Dietitian,"Weight Management, Diabetes, Chronic Disease, Sports Nutrition","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes, Sports & Performance Nutrition",Emily is a Midwest-based Registered Dietitian that enjoys exploring the relationship between food and health with patients. She strives to meet her patients with compassion and help them gain the confidence to create healthy relationships with food and physical activity. She is also a professor of nutrition. ,"I believe that food should be enjoyable, regardless of our situation. I work with patients to find positive attributes about themselves, create realistic health goals, and create inclusive action plans that fit into any schedule, no matter how busy. We'll work together to figure out how you can make small changes that eventually become habits.  I know that there are always bumps in the road and I see myself as a partner to help you navigate the ups and downs. ","Tennis, Reading, Cooking","Potatoes, Chocolate, Cheese",TRUE
299,Caroline Chess,"RD, LDN","IL
AZ",English,"Indiana University, BS, Applied Health Science, 2006; Indiana University Purdue University, Dietetic Internship, 2007",16 years of experience as a Registered Dietitian,"Clinical Nutrition, Weight Management","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes/Metabolic Health, GI & Digestive Health; Food Sensitivities","Caroline is a Registered Dietitian with 16 years of experience. She has a clinical background with experience working with clients who have high blood pressure, heart disease, renal disease, diabetes, and many other medical issues. Caroline also has experience with helping people meet their weight loss goals. Caroline has a passion for helping empower people to make healthful eating choices. It is her mission to provide the best nutrition counseling using evidence based research and recommendations.",I enjoy getting to know each one of my clients and figuring out which ideal diet would benefit them individually. I strive to help clients choose reachable goals to work on so they can feel successful in their weight loss or health journey. ,"Playing pickelball, cooking, hanging with my family",Ramen soup and dark chocolate,TRUE
308,Livia Ly,"MS, RD, LDN","IL
AZ","English, Portuguese, Spanish","University of Illinois at Chicago, Master's in Science, 2014
University of Illinois at Chicago, Coordinated Program in Dietetics and Dietetic Internships, 2014
Centro Universitario Sao Camilo, Bachelor's in Nutrition, 2008
",10+,"Functional Nutrition, Integrative Nutrition, Personalized Nutrition, Holistic Weight Management, Gut Health, Disordered Eating, Fertility, Pregnancy, Postpartum, Perimenopause, Hormonal Balance, Metabolic Disorders, Autoimmune Conditions, Sleep Health, Stress Management, Mental Health Management; Holistic Health Coaching.   ","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes/Metabolic Health, GI & Digestive Health; Food Sensitivities","Livia Ly, MS, RD, LDN is a registered & licensed dietitian and nutritionist trained both in Brazil and in the U.S., which accounts for about 10 years of nutrition training, internships, and a master's degree.  She is the owner and founder of Nutrily.

With the epidemic of lifestyle-related chronic illnesses, the healthcare system lacks patient-centered and preventive approaches, specific nutrition recommendations, and whole-food treatment strategies. Livia has the goal of fulfilling this gap. ","Livia believes that listening to client stories and looking at the interactions among the microbiota, the presence of food sensitivities, environmental exposures, cultural implications, and lifestyle factors can positively influence long-term health.

Livia believes that there are six pillars to holistic health and that we have to work on improving each pillar consistently and progressively. She strives to transform her clients' health holistically, so they can achieve their health goals as a consequence of a better life.","Exploring places with family, I have two small children
Reading
Traveling to Brazil","Brazilian, Vietnamese, Mediterranean",TRUE
269,Jaylen Garfield,RD,"IL
OR
UT
MT
NV
ID
AZ",English ,"Utah State University, Dietetic Internship, 2021; Utah State University, BS, Nutrition & Dietetics, 2019",2 years of experience as a Registered Dietitian,"Weight management, Sports Nutrition, Diabetes, Renal, Cardiac, Gut Health ","Obesity & Weight Management, Diabetes/Prediabetes/Metabolic Health, GI & Digestive Health; Food Sensitivities, Sports & Performance Nutrition","Jaylen is a Utah based Registered Dietitian. During her schooling she completed a study abroad in Crete, Greece to study one of the blue zones. She became quite passionate about the Mediterranean eating style and loves to share this knowledge with others. Although she is relatively new to the career, she has already had the opportunity to work in a large healthcare system, had successful endeavors in outpatient counseling, and volunteered many hours in sports nutrition. ","Nutrition is not a one size fits all solution. Each person is unique, and deserves their own personalized nutrition plan. We'll work together to provide you the skills and knowledge needed to achieve a flexible approach to food and nutrition, rather than punishing your body through rigid diets and deprivation. My goal is to help you make health a lifelong habit instead of a quick fix moment. ","Playing soccer, snowboarding, hiking, reading, baking, and spending time with family","any kind of pie, fresh salmon, sourdough bread dipped in olive oil",TRUE
267,Nicole Carlson,"RD, LD",MN,English,"Iowa State University, Dietetic Internship, 2013; University of Wisconsin-Stout, BS, Dietetics, 2012",10 years of experience as a Registered Dietitian,"Weight management, Diabetes, Corporate Wellness, Gut Health, Prenatal and Postpartum, Pediatrics ","Obesity & Weight Management, Diabetes/Prediabetes/Metabolic Health, GI & Digestive Health; Food Sensitivities, Pediatrics & Adolescents","Nicole is a Minnesota-based Registered Dietitian with a variety of experience working within transitional care units, corporate wellness and nutrition counseling. Within these roles she has valuable experience with a variety of disease states, menu planning and general nutrition and wellness. Nicole has a passion for making food and nutrition fun again for all of her clients. ",I want to meet all of my clients exactly where they are on their nutritional journeys. I believe in making small changes that make a big impact on one's health that will hopefully last a lifetime. I understand that life is busy and there isn't always time to spend hours in the kitchen. We will work together to find simple yet healthy solutions to help meet your goals while working with your current schedule and lifestyle. It is my hope that you feel more engaged in your personal nutrition and have a solid understanding of what balanced nutrition looks like for you. I'm looking forward to working with you to help you find the joy of food and nutrition all while improving your health!,"I love gardening, cooking, baking sourdough and spending time outdoors with my husband and three children. ","Homemade bagels, chicken alfredo and raspberries",TRUE
272,Diana Bitar,RDN,"FL

AZ","English, Arabic",Florida International University 2019,3 years of experience as a Registered Dietitian,"Weight management, Wellness, Chronic disease","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes/Metabolic Health",Diana is a Florida-based Registered Dietitian who is passionate about promoting health and wellbeing. She has worked in medical nutrition helping manage and prevent chronic disease while helping patients rehab to health. Also stepping into the virtual world and helping clients with weight management and fitness nutrition. Diana stays up to date with the latest nutrition research to ensure her recommendations are proven by science! ,"I like to meet my patients where they are and ensure the advice provided is personalized to fit their health needs and also lifestyle/schedule. I discuss the essentials of a healthy diet and encourage the patient to make changes that still honor their ethnic cuisine and likes. This isn't a temporary diet with a finish date, this is truly a change of mindset and food decisions. Everyone is different, everyone needs a unique ""prescription"".",Gardening and walks in nature,"Fattoush, Pizza, Pad Thai",TRUE
290,Kelly Herbert,RD,"WI
IL
AZ",English,"University of Wisconsin- Stevens Point, BS, Dietetics, 2015",5 years of experience as a Registered Dietitian,Pediatrics,Pediatrics & Adolescents,"Kelly is a Wisconsin-based Registered Dietitian who is passionate about helping people reconnect with food in a way that brings them closer to their loved ones, their culture, the seasons of nature, and the healthiest version of themselves. She has worked in both public health and clinical settings and has 5 years of experience helping families make food decisions that support their personal goals and values. ","I don’t believe there is one ideal diet for humans. Humans have survived on a wide variety of different diets over millennia because we have adapted to thrive on what is locally and seasonally available. But, even among seemingly opposing nutrition philosophies, there is an overwhelming consensus that the highly processed foods of the last 100 years are a major contributor to the worsening health of our population. But we all would also agree that the convenience of these foods has allowed us to maintain a pace and standard of life that would not be possible if our only option was to cook (and grow) all our food from scratch.  For this reason, I do not see food as “good” or “bad”. It all serves a purpose, with its nutritional qualities laying somewhere on a spectrum. Let’s work together to find that balance between convenience and nutrition. It is possible, and it tastes pretty dang good!","gardening and homesteading, enjoying the outdoors, dog training","thin-crust pizza, chips and salsa, and anything with curry!",TRUE
326,Iraina Rosenthal-Tawil,"RD, MS","NY


",English,"CUNY Hunter, Dietetic Internship, Nutrition Sciences, 2018; CUNY Brooklyn College, Masters of Science, Nutrition Sciences, 2017; SUNY University at Buffalo, Bachelors of Science, Environmental Design, 2012",5,"Diabetes Management, Plant-based Nutrition, Intuitive Eating, Gut Health, Weight Management, Metabolic Disorders, PCOS","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes/Metabolic Health","Iraina is a New York-based Registered Dietitian who specializes in the prevention, management and reversal of chronic health conditions. In counseling sessions, Iraina teachers her clients how to leverage the power of nutrient-dense plant foods while also implementing a weight-inclusive approach to health and well-being. Iraina has extensive experience advocating for vulnerable populations, including individuals with disabilities, low-income and elderly communities. She is passionate about social justice and environmental issues; she seeks to raise awareness through grassroots initiatives and nutrition education. ","When it comes to health, there are no quick-fixes, but there is scientific evidence demonstrating that the consumption of nutrient-dense, plant-based foods can help manage and even reverse chronic health conditions. Using an inclusive, intuitive eating health model, I guide clients in adopting a sustainable, plant-centric diet. I take a gentle approach with nutrition, supporting folks in learning how to nourish themselves with freedom to enjoy the pleasure food is meant to provide. ","Hiking, climbing, volunteering at animal sanctuaries, cooking","Whole Wheat Steamed Dumplings, Vegetable Empanadas, Baked Japanese Yams, Chocolate Banana Bread",TRUE
312,Justine Rosado,"RD, CDN, MS, CDCES","NY

AZ",English,"University of Rhode Island, MS, Clinical Nutrition 2021; Queens College, BS, Nutrition and Dietetics, 2016; Stony Brook University, BS, Psychology, 2010.",5 years of experience as Registered Dietitian,"Weight Management, Diabetes","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes/Metabolic Health","Justine Rosado is a Registered Dietitian Nutritionist based in Queens, New York. She holds a master's degree in clinical nutrition as well as bachelor degrees in both psychology and nutrition. She began her career as a professional chef and was inspired by the relationship between food and health, prompting her to pursue her passion of clinical nutrition. She completed a dietetic internship through and then worked in an inpatient hospital for 2 years. She currently works as an outpatient dietitian providing individualized care for a wide spectrum of life stages ranging from pediatrics to geriatrics. In her free time, Justine loves baking bread from scratch and going on long hikes with her wife Cat and pup Ralphie.","My philosophy to nutrition counseling is simple. I apply a patient-driven type of approach, letting your goals and readiness to change dictate our sessions. I start with an in depth assessment of your eating and exercise habits and together we collaborate to build a plan for the future. It's all guided by your personalized desires - what are you looking to accomplish by working together? In what ways will you life improve by modifying your eating and exercise habits? I operate from a standpoint of abundance rather than restriction and deprivation, which are ultimately unsustainable in the context of establishing healthy eating and exercise habits for life. Some of the topics we'll discuss in detail include crafting a healthier relationship with food, habit formation, and achieving consistency. Lastly, I'm a firm believer in accountability and unconditional support. These trump perfection any day in my book! ","Cooking, listening to music, hiking, camping, running, and personal finance.","Pizza, Pasta (I'm Italian!), Sourdough Bread",TRUE
274,Sarah Rogers,"MA, RD, LD","TN
KY
FL

OR

WI
AZ",English,"Fontbonne University: 
MA, Family & Consumer Sciences- Interdisciplinary Health Communications. Dietetic Internship 2017
Lipscomb University:
BS, Nutrition Sciences 2016
Nashville State Community College
AA, Culinary Arts 2013",5 years of experience as a Registered Dietitian,"Pre-Diabetes/Diabetes Prevention, Celiac Disease, Gut Health, Prenatal Nutrition, Chronic Disease prevention/management","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes/Metabolic Health, GI & Digestive Health; Food Sensitivities","Sarah is a Tennessee based Registered Dietitian who is passionate about empowering others to make positive nutrition and lifestyle changes. She believes that nutrition education and counseling should be accessible to everyone. Before becoming a Dietitian, Sarah went to culinary school and worked as a line cook in restaurants while pursuing her undergrad and graduate degrees. She has since worked in a variety of dietetic settings such as culinary nutrition, public health and nutrition counseling.","I believe in a very personalized approach to nutrition. Diets are not one size fits all. All foods can fit into a well-rounded diet! I work with you to create realistic and sustainable habits that are individualized to your specific goals. You know your own body and life best! My role at Foodsmart is to be your motivator and accountability partner, which means fostering an inclusive and safe environment for you to learn and grow! ","Cooking- I Love creating gluten free versions of my favorite foods.
Thrift Shopping
Reading","Pizza (yes pineapple does belong!), Pancakes, Bibimbap, Shrimp and Veggie Fajitas ",TRUE
298,Ayah Muhsen,MS RD LDN,NY,"English, Arabic","Meredith College, Masters of Science in Nutrition & Dietetics, 2020",1.5 years of experience as a Registered Dietitian; 3 years of experience as a weight loss Nutrition Counselor,"Weight Management, Renal, Diabetes","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes/Metabolic Health","Ayah is a Midwest-based Registered Dietitian who is passionate about working one on one with individuals to meet their nutrition and diet needs. She is very personable and excels in emotional intelligence. She has worked in weight management for over 3 years, 1 year in community nutrition with adolescents and babies, and currently works with renal patients at a dialysis clinic. She is also certified in nutrition coaching. When working with clients, Ayah connects with them by understanding their struggles, which strategies work the best for the clients to get them to their goals, and to overall help them succeed. ","My approach when counseling a client is getting to know them, their story, and to understand what I can do to be a support for the client. Whether it is a client that wants better eating habits, knowledge about lunch and dinner prep, how to grocery shop properly, or who just needs accountability - I am here for it all. Once we have communicated, we can create a plan together that will work best for you. I never want clients to feel that they are eating the ""wrong"" way or eating ""unhealthy"". We are all human; with that, we will work together on what is realistic and what will work best for your lifestyle. ","Traveling, reading, doing others'makeup, pure barre, and creating cooking TikToks.","Sushi, chocolate, coffee, and anything made out of avocados.",TRUE
303,Leah Fahey,"RD, MS, CDCES","IL
AZ",English,"Benedictine University, MS/Dietetic Intership, Nutrition and Wellness, 2016; ",6 years of experience as a Registered Dietitian,"Diabetes, Geriatrics, Renal ","Chronic Conditions, Diabetes/Prediabetes/Metabolic Health","Leah is a Chicago-based Registered Dietitian who is passionate about using nutrition to help everyone live their happiest and healthiest lives. She has experience in working in all different communities, educating people living with diabetes and other conditions. She has been working as an outpatient dietitian for 6 years, and has helped people set small goals and become their best selves. ","I believe in making small, achievable goals and working together to build a healthy lifestyle. I like to meet people where they are and build on the knowledge and habits they already have to make a healthy plan. Sustainable changes take time and I believe that making small, incremental changes will benefit in the long run. ","Running, watching football, basketball, traveling ","Ice cream, stir fry, hummus and pita, tacos",TRUE
322,Ashley Favre,"MS, RD, IBCLC","IL
MO
AZ",English,"Eastern Illinois University, MS, Dietetics, 2013; Eastern Illinois University, Dietetic Internship, Community Nutrition, 2013; Missouri State University, BS, Biomedical Sciences, Dietetics, 2009",10 years experience as a Registered Dietitian ,"General Nutrition, Nutrition for families, Infants and children, Nutrition during Pregnancy, Postpartum, and Breastfeeding ",Pediatrics & Adolescents,"Ashley is a Mid-West based Registered Dietitian with a passion to provide access to health education and resources for individuals, families, and communities. She has worked in academic, clinical, and community settings for over ten years to implement a variety of nutrition education programs. Her experience working with underserved populations has allowed her the knowledge to help individuals of different backgrounds, ethnicities, and education levels overcome challenges to their health. With an emphasis in maternal and child health she has worked with the Women Infants and Children (WIC) program to gain valuable insight to the nutritional needs of mothers, families, and infants during the critical periods of pregnancy, postpartum, and breastfeeding. ","I believe in an empathetic yet educational approach. In our session, you may hear me say “no judgement here” and I truly mean it. I enjoy helping individuals of all backgrounds, ethnicities, and education levels overcome barriers to their health. My goal is to provide education that empowers you to feel capable and competent to make steps towards the decisions that work best for you. ",Playing superheroes and riding bikes with my two sons,Anything chocolate and Mexican Food,TRUE
328,Laura Burk,"MPH, RDN, LDN","IL

OR
WI",English,"Yoga Alliance, Yoga instructor, RYT 200, 2015
National Academy of Sports Medicine, Personal Trainer, Corrective Exercise Specialist, 2002
Benedictine University, Master of Public Health, dietetic Internship, 2001
Illinois State University Bachelor of Science, Family consumer Sciences, Dietetics, 1999
",22 years of experience as a Registered Dietitian,"Corporate Wellness, Sports Nutrition, Gut health, Chronic Disease, Auto immune, Weight Management, plant-based nutrition, teen nutrition","Obesity & Weight Management, Chronic Conditions, Sports & Performance Nutrition","As a Registered Dietitian, Laura is a consultant and writer who specialize in weight loss, organic/clean foods, eating plant-based foods, and sport nutrition for children and adults. She has extensive experience in developing and implementing creative nutrition education programs and meal plans for individuals and groups within the community.

After having three children and gaining a passion for exercise, Laura participated in multiple marathons, half marathons and triathlons.  Laura obtained her personal training degree and works with all types of clients to succeed in their fitness goals.

Laura’s next adventure was to heal the mind, by becoming a yoga instructor to discover the power of the breath. As she enjoyed experiencing the moment, Laura continued her knowledge in the kitchen and became a plant-based chef.  Laura really enjoys helping people creating meal plans, adding more fruits and vegetables to your plate, and bringing simplicity to the kitchen.",I believe there is no one magic diet or a quick fix to health.  Nutrition and exercise is not an exact science and is not a one size fits all.  I love to help people customize nutrition and exercise plans to fit their lifestyle and needs.  I am a big believer that small steps have a huge impact on health. By adding one vegetable or 10 minutes of exercise to your day can empower you on your health journey.   Let's work together to discover and create your meal plan and exercise goals that will lead you in the right direction on your healthy journey. Let's do this together! One step at a time!,"Running, baking, reading, watching movies with my kids","Pizza, salad, and chocolate",TRUE
319,Lexi Orlan,"MS, RD","NY
NC
GA
FL

AZ",English,"Teachers College, Columbia University, Master of Science, Nutrition and Education, 2020; Rutgers University, Dietetic Internship, Clinical and Community Nutrition, 2018; University of Delaware, Bachelor of Science, Dietetics, 2017",,"Weight management, gut health, heart disease, diabetes, corporate wellness, chronic disease","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes/Metabolic Health, GI & Digestive Health; Food Sensitivities","Lexi is a Registered Dietitian based out of her home state of New Jersey. She believes that health is our most valuable asset and nutrition is the cornerstone. This belief lead Lexi to complete both her Bachelors and Masters degree in clinical and community dietetics, allowing her to provide evidenced-based and realistic recommendations. Since starting nutrition counseling in 2021, Lexi has helped her clients improve their blood biomarkers and develop a better relationship to food.
","I take a client-centered approach when it comes to nutrition counseling. To me, the client is a part of the health team; While I may be the expert on nutrition, the client is the expert on themselves. When it comes to my food philosophy, I believe that all foods fit and whole, nutrient-dense foods are the focus. Though I do not just look at the client’s dietary intake, rather I take into consideration all parts of the client’s lifestyle. Together, the client and I will come up with a customized nutrition care plan to reflect what health looks like to them. Each session I will be there to cheer on my client’s successes and help them through any challenges!","Yoga, Pilates, Traveling, Going on walks, Reading","Chocolate chip cookies, roasted cauliflower, burritos",TRUE
317,Lauren Perrone,"MS, RDN","NY
AZ",English,"Concordia University of Chicago, MS, Exercise Science, Concentration of Sports Nutrition, 2022
Sodexo Inc., Dietetic Internship, 2021
CUNY Queens College, BS, Nutrition and Dietetics, 2020
Towson University, Bachelor of Science, Business Administration, 2017",1 year and 7 months of experience as a Registered Dietitian,"Chronic Disease, Renal, Sports Nutrition, Weight Management","Chronic Conditions, Diabetes/Prediabetes/Metabolic Health, Sports & Performance Nutrition","Lauren is a New York City area based Registered Dietitian who is passionate about health and wellness, preventing chronic disease and developing lifelong goals to maintain optimal health. She has worked in both clinical and community settings with almost 2 years of experience implementing nutrition and dietetic strategies to improve overall health. ","I believe that in order to sustain long-term diet and lifestyles changes, it is important to take an individualize approach. I believe that developing and achieving small goals over time can help sustain overall health. I am passionate about making an ""80/20"" lifestyle where 80% of time you consume a nutritious diet that provides fuel and 20% of the time indulging in your favorite meals. I enjoy working with clients on developing simple strategies that work for them and their current routine and lifestyle. ","My hobbies include fitness, walking on the beach, spending time with friends and family and traveling.",Sushi and tacos,TRUE
325,Amanda Rigby,"RD, LDN, CLT","RI
MA

AZ",English,"Kresser Institute for Functional Medicine, Continued Ed, online, 2018.  Lenoir Rhyne University, Dietetic Internship 2016. University of Rhode Island, Nutrition & Dietetics, 2016.",6 years of experience as a Registered Dietitian,"Chronic disease, Diabetes, Gut health, Adolescent and Adult weight management, Nutrigenomics, Corporate Wellness","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes/Metabolic Health, GI & Digestive Health; Food Sensitivities","Amanda Rigby is a Licensed, Registered Dietitian specializing in functional nutrition. She sees the body as an interconnected system and works to connect a person’s lifestyle, diet, and environment to create a sustainable approach to achieving optimal health. Amanda has worked in an array of nutrition settings and finds her passion in teaching others tangible strategies to improve their health and lifestyle goals.","I work to build therapeutic partnerships with my clients to offer an individualized approach to health.

You won’t find a more detective-like health care provider. I’m in your corner.

My approach is patient-centered, evidenced based, and deeply rooted in scientific research. By focusing on identifying the root causes and imbalances within the body—rather than just treating the symptoms—we are able to significantly improve your health outcomes.

I believe food is the most powerful form of medicine. I believe food should be fun and nourishing and I believe in working with your body. I believe that you can feel good again.","Finding new, yummy restaurants! Watching the world through my 1 year old's eyes. Traveling.",Any seafood and anything with truffle oil!,TRUE
283,Katherine Baunach,"RD, LDN, CDCES","IL
AZ",English,"Central Michigan University, Dietetic Internship 2011; Southern Illinois University Carbondale, BS, Human Nutrition and Dietetics, 2010",11 years of experience as a Registered Dietitian,"Diabetes, Weight Management, Chronic Disease, Pediatrics, Geriatrics, Gut Health","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes/Metabolic Health, GI & Digestive Health; Food Sensitivities, Pediatrics & Adolescents","Katherine is a Chicago Area-based Registered Dietitian who is passionate about disease prevention and promoting health and wellbeing of each person. She has over eleven years of experience in the nutrition field in a variety of clinical settings. Katherine's background includes Diabetes, Adult and Pediatric Weight Management, Bariatric Surgery, Cardiac Health, and more.  ","I believe each client has their own unique story and I feel that by understanding where a client is in their life right now, I am able to more effectively assist them in their journey towards improving their health. I strive to help clients make impactful lifestyle changes that are personalized, realistic, and sustainable taking into consideration current lifestyle, exercise, and eating habits (all foods can be included!). Let's work together to improve your health journey, through nutrition! ","Traveling, hiking, baking, and spending time with my husband and 3 children","Sushi, flavorful salads, and unique ice cream flavors",TRUE
337,Emily Marshall,RD,"IL
AZ",English,"Dominican University, Didactic Program in Dietetics and Dietetic Internship, 2016. DePaul University, Bachelors of Science, Public Health, 2013",7 years of experience,"Intuitive Eating, Mindful Eating, Health at Every Size, Eating Disorders/Disordered Eating, Heart Health, Gut Health, Cholesterol, Blood Pressure, Sports Nutrition, Diabetes, General Wellness","Chronic Conditions, Diabetes/Prediabetes/Metabolic Health, GI & Digestive Health; Food Sensitivities, Sports & Performance Nutrition, Pediatrics & Adolescents",Emily is a Chicago area-based Registered Dietitian with 7 years of experience in nutrition counseling. She is passionate about helping people see that it's not all about the food. There's so much more to a person's relationship with food and their body and her job is to get curious and ask the right questions to uncover more about her client's needs. ,"I believe you are the expert of your body and your life! When I'm working with a client my primary role is to listen to you and ask you questions to help you reflect on your values, goals and experience. If it's feeling really challenging to navigate food and your health, I'm here to support you in finding more ease and confidence in your ability to care for yourself. I love helping my clients reduce feelings of guilt and stress around eating so they can foster more satisfaction and peace around food. We'll take it one step at a time and I'll give you the tools to be able to listen to and trust your body more. I'm not here to judge you or force you to do anything you don't want to do. Instead, we'll collaborate together to figure out what are the next steps to take to help you start to feel better. ","Playing piano, hiking, cooking, spoiling my cat, ",Anything with cheese,TRUE
343,Morgan Vander Zee,RDN,"SD

AZ",English,"South Dakota State University, BS, Nutrition and Dietetics, 2017",5 years of experience as a Registered Dietitian,"Weight management, Adolescent pediatrics, Diabetes, Allergies/intolerances, Chronic Disease, Geriatrics","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes/Metabolic Health, GI & Digestive Health; Food Sensitivities, Pediatrics & Adolescents","Morgan is a Registered Dietitian who believes in the direct relationship between nutrition and quality of life. She knows that ""healthy"" is so much more than what a person weighs, and her passion is making healthy lifestyle change accessible. Individuals are unique, and there is no ""one size fits all"" solution which is why she collaborates with her patients to find creative solutions. ","Healthy lifestyle change is only sustainable if it's actually enjoyable. By getting to know my patients and listening to their motivations (time with kids/grandkids, traveling, managing chronic illness, etc.), we can then set goals centered around those priorities. I believe that it's possible to meet a person's physical needs while still honoring who you are and who you want to be. ",Cooking & Hiking,Curry,TRUE
334,Naomi Ward,"RDN, LDN","IL
MO",English ,"VA Hospital Dietetic Internship, Clinical Nutrition, 1994
Fontbonne College, BS Degree in General Dietetics, 1993",25+ years of expericence as a Registered Dietitian,"Diabetes, Weight Management, Chronic Diseases,  Geriatrics, Mindful Eating ","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes/Metabolic Health","Naomi is a very dedicated and zealous women about her job.  She comes with over thirty years of experience in the mid-west.  She is a Registered Dietitian who is passionate about promoting health, fitness and well-being.  This passion began with her family, who is dear to her heart and many suffered from diabetes, high blood pressure and other auto immune disease that could be reversed with a healthy eating plan & exercise.  This led her to become a registered dietitian, so she could help others.  She brings several years of expertise in nutritional counseling to outpatients ranging in age from two through ninety-two for numerous disease states ; such as diabetes, obesity, metabolic disease, heart disease, high blood pressure, cancers, malnutrition and more.  Thanks to technology she is now able to reach many more people from the comfort of their home.  This transition of technology will lead to a healthier community, a better quality of life and an extended lifespan.  ",I don't believe there is one diet for everyone.  I work with patients to find the diet and/or lifestyle change that works best for them individually based on their objective and healthcare needs while considering their ethnicity.  I believe in assisting the patient with setting attainable small goals and learning to eat food in moderation while using correct portion sizes.  I enjoy finding alternative ways of preparing foods of good nutritional value that we love. This can frequently result in a great tasting dish and is often a healthier way of eating it.  We will work together to find the best plan to meet your personal goals and healthcare needs.  ,"traveling, cooking and baking ","Grilled meats/BBQ,  Cobb salad,  Fresh peach, watermelon, oatmeal chocolate chip cookie. ",TRUE
